category,brand_id,master_id,human_id,rating,ranking
chocolate,2,5,6,5,1
chocolate,2,5,3,4.5,1
chocolate,3,5,8,4,1
chocolate,3,5,5,4.5,1
chocolate,4,5,4,4,1
chocolate,5,5,2,4,1
chocolate,6,5,7,4,1
chocolate,7,5,1,5,1
chocolate,7,5,9,4,1
Peanut Butter,9,8,9,3.5,1
Peanut Butter,11,8,3,5,1
Peanut Butter,11,8,4,3.75,1
Peanut Butter,11,8,2,5,1
Peanut Butter,11,8,5,4.5,1
Peanut Butter,12,8,7,4,1
Peanut Butter,12,8,6,4.5,1
Peanut Butter,12,8,8,4,1
Peanut Butter,13,8,1,5,1
Ice Cream,14,2,2,5,1
Ice Cream,16,2,6,5,1
Ice Cream,18,2,4,4.1,1
Ice Cream,19,2,7,5,1
Ice Cream,19,2,1,4.5,1
Ice Cream,19,2,8,4.5,1
Ice Cream,21,2,3,4,1
Ice Cream,21,2,9,5,1
Ice Cream,21,2,5,5,1
Cream Soda,23,4,7,2,1
Cream Soda,23,4,3,4,1
Cream Soda,24,4,4,3,1
Cream Soda,24,4,1,4.5,1
Cream Soda,24,4,9,4,1
Cream Soda,24,4,8,4.5,1
Cream Soda,24,4,5,5,1
Cream Soda,27,4,6,4.5,1
Cream Soda,27,4,2,5,1
Root Beer,30,6,2,3,1
Root Beer,31,6,6,5,1
Root Beer,32,6,7,4,1
Root Beer,32,6,3,5,1
Root Beer,32,6,4,3.5,1
Root Beer,32,6,1,4,1
Root Beer,32,6,9,5,1
Root Beer,32,6,8,4,1
Root Beer,32,6,5,4.5,1
Brownies,36,9,6,4,1
Brownies,36,9,4,3.5,1
Brownies,36,9,8,3.5,1
Brownies,36,9,5,4.5,1
Brownies,39,9,2,4,1
Brownies,39,9,9,3.5,1
Brownies,40,9,7,3.5,1
Brownies,40,9,3,4,1
Brownies,40,9,1,4.5,1
Cinnamon Rolls,42,7,7,3.5,1
Cinnamon Rolls,42,7,5,4,1
Cinnamon Rolls,47,7,3,4.5,1
Cinnamon Rolls,47,7,4,3.5,1
Cinnamon Rolls,47,7,1,4,1
Cinnamon Rolls,47,7,2,4,1
Cinnamon Rolls,47,7,9,4,1
Cinnamon Rolls,47,7,8,4,1
Cinnamon Rolls,49,7,6,4,1
Orange Juice,52,3,3,4.5,1
Orange Juice,55,3,4,3,1
Orange Juice,55,3,1,5,1
Orange Juice,55,3,8,5,1
Orange Juice,56,3,6,5,1
Orange Juice,56,3,2,5,1
Orange Juice,56,3,9,5,1
Orange Juice,56,3,8,5,1
Orange Juice,56,3,5,4.5,1
Orange Juice,57,3,7,4,1
Lager,58,1,3,3,1
Lager,58,1,2,5,1
Lager,58,1,5,3,1
Lager,59,1,9,3,1
Lager,60,1,1,4,1
Lager,64,1,7,1,1
Lager,64,1,6,2.5,1
Lager,64,1,8,3,1
chocolate,2,5,7,4,2
chocolate,2,5,2,4,2
chocolate,2,5,9,3.5,2
chocolate,2,5,8,3.5,2
chocolate,5,5,1,4,2
chocolate,6,5,6,4,2
chocolate,6,5,3,4,2
chocolate,7,5,4,3,2
chocolate,7,5,5,4,2
Peanut Butter,9,8,7,3,2
Peanut Butter,9,8,5,4,2
Peanut Butter,10,8,4,3.5,2
Peanut Butter,11,8,6,4,2
Peanut Butter,11,8,1,4,2
Peanut Butter,11,8,8,4,2
Peanut Butter,12,8,3,4,2
Peanut Butter,12,8,2,4.5,2
Peanut Butter,13,8,9,3.5,2
Ice Cream,16,2,4,4,2
Ice Cream,16,2,8,4,2
Ice Cream,16,2,5,3.5,2
Ice Cream,18,2,3,4,2
Ice Cream,18,2,2,4.5,2
Ice Cream,18,2,9,3,2
Ice Cream,21,2,7,4.5,2
Ice Cream,21,2,6,5,2
Ice Cream,21,2,1,4,2
Cream Soda,22,4,7,1.5,2
Cream Soda,22,4,3,4,2
Cream Soda,22,4,5,4,2
Cream Soda,24,4,6,4.5,2
Cream Soda,24,4,2,5,2
Cream Soda,25,4,9,3.5,2
Cream Soda,26,4,1,4,2
Cream Soda,27,4,4,3,2
Cream Soda,27,4,8,4,2
Root Beer,28,6,1,3.5,2
Root Beer,28,6,9,3,2
Root Beer,30,6,4,3,2
Root Beer,30,6,5,3.5,2
Root Beer,31,6,7,3.5,2
Root Beer,31,6,3,4,2
Root Beer,31,6,2,3,2
Root Beer,31,6,8,4,2
Root Beer,32,6,6,4,2
Brownies,36,9,7,3,2
Brownies,36,9,3,3.5,2
Brownies,36,9,2,4,2
Brownies,36,9,9,3,2
Brownies,37,9,4,3,2
Brownies,39,9,6,3,2
Brownies,40,9,8,3,2
Brownies,40,9,5,3,2
Brownies,41,9,1,4,2
Cinnamon Rolls,44,7,9,1.5,2
Cinnamon Rolls,45,7,6,4,2
Cinnamon Rolls,46,7,7,3.5,2
Cinnamon Rolls,46,7,1,3,2
Cinnamon Rolls,47,7,5,3.5,2
Cinnamon Rolls,49,7,3,4,2
Cinnamon Rolls,49,7,4,3,2
Cinnamon Rolls,49,7,2,3.5,2
Cinnamon Rolls,49,7,8,3.5,2
Orange Juice,50,3,3,4,2
Orange Juice,51,3,1,4,2
Orange Juice,52,3,7,4,2
Orange Juice,52,3,9,3.5,2
Orange Juice,52,3,5,4.5,2
Orange Juice,57,3,6,4,2
Orange Juice,57,3,4,2.5,2
Orange Juice,57,3,2,4.5,2
Lager,58,1,7,1,2
Lager,58,1,8,2.5,2
Lager,59,1,6,2.5,2
Lager,63,1,1,4,2
Lager,64,1,3,3,2
Lager,64,1,9,2.5,2
Lager,65,1,2,4.5,2
Lager,65,1,5,2,2
chocolate,1,5,3,3.5,3
chocolate,1,5,2,3.5,3
chocolate,1,5,9,2.5,3
chocolate,1,5,8,3,3
chocolate,2,5,4,3,3
chocolate,4,5,7,3.5,3
chocolate,5,5,5,4,3
chocolate,6,5,1,3.5,3
chocolate,7,5,6,3.5,3
Peanut Butter,8,8,6,3.5,3
Peanut Butter,9,8,4,3,3
Peanut Butter,9,8,8,3.5,3
Peanut Butter,10,8,3,3.5,3
Peanut Butter,10,8,2,4.5,3
Peanut Butter,11,8,7,3.5,3
Peanut Butter,11,8,9,2.5,3
Peanut Butter,12,8,1,3.5,3
Peanut Butter,12,8,9,2.5,3
Peanut Butter,12,8,5,4,3
Ice Cream,16,2,7,4,3
Ice Cream,16,2,3,3.5,3
Ice Cream,16,2,1,3.5,3
Ice Cream,17,2,8,3.5,3
Ice Cream,18,2,5,3,3
Ice Cream,19,2,6,4.5,3
Ice Cream,21,2,2,3.5,3
Cream Soda,22,4,6,4,3
Cream Soda,22,4,8,3.5,3
Cream Soda,23,4,5,4,3
Cream Soda,24,4,3,3,3
Cream Soda,25,4,2,4,3
Cream Soda,26,4,4,2.5,3
Cream Soda,27,4,7,1,3
Cream Soda,27,4,1,4,3
Cream Soda,27,4,9,3,3
Root Beer,28,6,7,3.5,3
Root Beer,28,6,5,2.5,3
Root Beer,30,6,6,3.5,3
Root Beer,30,6,3,2.5,3
Root Beer,30,6,8,3,3
Root Beer,31,6,4,3,3
Root Beer,31,6,9,2,3
Ice Cream,32,2,4,3.5,3
Ice Cream,32,2,9,2,3
Root Beer,32,6,2,2.5,3
Root Beer,35,6,1,3,3
Brownies,37,9,2,3.5,3
Brownies,38,9,6,2.5,3
Brownies,38,9,3,2.5,3
Brownies,38,9,4,2.5,3
Brownies,38,9,8,2,3
Brownies,38,9,5,2.5,3
Brownies,39,9,7,3,3
Brownies,39,9,1,4,3
Brownies,41,9,9,2,3
Cinnamon Rolls,42,7,3,3.5,3
Cinnamon Rolls,42,7,4,2.5,3
Cinnamon Rolls,44,7,1,2.5,3
Cinnamon Rolls,45,7,2,3,3
Cinnamon Rolls,45,7,8,3,3
Cinnamon Rolls,47,7,6,3.5,3
