master,taster,category,brand,rating,ranking
Justin,Alyssa,chocolate,Lindt 70%,4,1
Justin,Alyssa,chocolate,Godiva 72%,3.5,3
Justin,Alyssa,chocolate,Dandelion 70%,1.5,5
Justin,Alyssa,chocolate,Ghiradelli 60%,2,4
Justin,Alyssa,chocolate,Hershey 70%,1.5,7
Justin,Alyssa,chocolate,Equal Exchange 80%,1.5,6
Justin,Alyssa,chocolate,Ghiradelli Cocoa Nibs 60%,4,2
Justin,Austin,chocolate,Lindt 70%,4,2
Justin,Austin,chocolate,Godiva 72%,3.5,4
Justin,Austin,chocolate,Dandelion 70%,1,7
Justin,Austin,chocolate,Ghiradelli 60%,2,5
Justin,Austin,chocolate,Hershey 70%,2,6
Justin,Austin,chocolate,Equal Exchange 80%,3.5,3
Justin,Austin,chocolate,Ghiradelli Cocoa Nibs 60%,5,1
Justin,Andrew,chocolate,Lindt 70%,4,2
Justin,Andrew,chocolate,Godiva 72%,2.5,5
Justin,Andrew,chocolate,Dandelion 70%,0,7
Justin,Andrew,chocolate,Ghiradelli 60%,3.5,3
Justin,Andrew,chocolate,Hershey 70%,3.5,4
Justin,Andrew,chocolate,Equal Exchange 80%,2,6
Justin,Andrew,chocolate,Ghiradelli Cocoa Nibs 60%,4.5,1
Justin,Evan,chocolate,Lindt 70%,2.5,4
Justin,Evan,chocolate,Godiva 72%,4,1
Justin,Evan,chocolate,Dandelion 70%,0,7
Justin,Evan,chocolate,Ghiradelli 60%,2,6
Justin,Evan,chocolate,Hershey 70%,2.5,5
Justin,Evan,chocolate,Equal Exchange 80%,3,2
Justin,Evan,chocolate,Ghiradelli Cocoa Nibs 60%,3,3
Justin,Sam,chocolate,Lindt 70%,3.5,3
Justin,Sam,chocolate,Godiva 72%,2.5,5
Justin,Sam,chocolate,Dandelion 70%,4,2
Justin,Sam,chocolate,Ghiradelli 60%,2.5,6
Justin,Sam,chocolate,Hershey 70%,0,7
Justin,Sam,chocolate,Equal Exchange 80%,5,1
Justin,Sam,chocolate,Ghiradelli Cocoa Nibs 60%,3,4
Justin,Katelin,chocolate,Lindt 70%,3,4
Justin,Katelin,chocolate,Godiva 72%,2,5
Justin,Katelin,chocolate,Dandelion 70%,4,1
Justin,Katelin,chocolate,Ghiradelli 60%,3.5,3
Justin,Katelin,chocolate,Hershey 70%,2,7
Justin,Katelin,chocolate,Equal Exchange 80%,2,6
Justin,Katelin,chocolate,Ghiradelli Cocoa Nibs 60%,4,2
Justin,Anastasia,chocolate,Lindt 70%,1.5,4
Justin,Anastasia,chocolate,Godiva 72%,2,5
Justin,Anastasia,chocolate,Dandelion 70%,1,6
Justin,Anastasia,chocolate,Ghiradelli 60%,2.5,3
Justin,Anastasia,chocolate,Hershey 70%,0.5,7
Justin,Anastasia,chocolate,Equal Exchange 80%,4,1
Justin,Anastasia,chocolate,Ghiradelli Cocoa Nibs 60%,3.5,2
Justin,Jacob,chocolate,Lindt 70%,2.5,4
Justin,Jacob,chocolate,Godiva 72%,2.5,5
Justin,Jacob,chocolate,Dandelion 70%,0,8
Justin,Jacob,chocolate,Ghiradelli 60%,3,3
Justin,Jacob,chocolate,Hershey 70%,4,1
Justin,Jacob,chocolate,Equal Exchange 80%,1.5,6
Justin,Jacob,chocolate,Ghiradelli Cocoa Nibs 60%,3.5,2
Justin,Justin,chocolate,Lindt 70%,2.5,7
Justin,Justin,chocolate,Godiva 72%,3.5,4
Justin,Justin,chocolate,Dandelion 70%,4,3
Justin,Justin,chocolate,Ghiradelli 60%,3,5
Justin,Justin,chocolate,Hershey 70%,4.5,1
Justin,Justin,chocolate,Equal Exchange 80%,4,2
Justin,Justin,chocolate,Ghiradelli Cocoa Nibs 60%,3,6
Jacob,Alyssa,Peanut Butter,Reese's,2.5,5
Jacob,Alyssa,Peanut Butter,Peter Pan,3,2
Jacob,Alyssa,Peanut Butter,Great Value,2.5,4
Jacob,Alyssa,Peanut Butter,Skippy,3.5,3
Jacob,Alyssa,Peanut Butter,Earth Balance,1,6
Jacob,Alyssa,Peanut Butter,Jif,4,1
Jacob,Austin,Peanut Butter,Reese's,3.5,3
Jacob,Austin,Peanut Butter,Peter Pan,3,5
Jacob,Austin,Peanut Butter,Great Value,3,4
Jacob,Austin,Peanut Butter,Skippy,4,2
Jacob,Austin,Peanut Butter,Earth Balance,0.5,6
Jacob,Austin,Peanut Butter,Jif,4.5,1
Jacob,Andrew,Peanut Butter,Reese's,3,5
Jacob,Andrew,Peanut Butter,Peter Pan,3,4
Jacob,Andrew,Peanut Butter,Great Value,3.5,3
Jacob,Andrew,Peanut Butter,Skippy,5,1
Jacob,Andrew,Peanut Butter,Earth Balance,1,6
Jacob,Andrew,Peanut Butter,Jif,4,2
Jacob,Evan,Peanut Butter,Reese's,2.5,4
Jacob,Evan,Peanut Butter,Peter Pan,3,3
Jacob,Evan,Peanut Butter,Great Value,3.5,2
Jacob,Evan,Peanut Butter,Skippy,3.75,1
Jacob,Evan,Peanut Butter,Earth Balance,1,6
Jacob,Evan,Peanut Butter,Jif,2,5
Jacob,Sam,Peanut Butter,Reese's,2.5,6
Jacob,Sam,Peanut Butter,Peter Pan,3.5,4
Jacob,Sam,Peanut Butter,Great Value,3,5
Jacob,Sam,Peanut Butter,Skippy,4,2
Jacob,Sam,Peanut Butter,Earth Balance,5,1
